,Subject,Age,Gender,Handedness,Shape,Label,Matching,Identity,Morality,Response,Bin,RT_ms,RT_sec,ACC,Country
194,7302,22,female,R,immoralOther,moralSelf,Nonmatching,Other,Bad,n,5,599,0.599,1,China
195,7302,22,female,R,immoralOther,moralSelf,Nonmatching,Other,Bad,n,5,774,0.774,1,China
196,7302,22,female,R,immoralOther,moralOther,Nonmatching,Other,Bad,n,1,678,0.678,1,China
197,7302,22,female,R,immoralOther,moralSelf,Nonmatching,Other,Bad,n,1,840,0.84,1,China
198,7302,22,female,R,immoralOther,immoralSelf,Nonmatching,Other,Bad,n,1,822,0.822,1,China
199,7302,22,female,R,immoralOther,moralSelf,Nonmatching,Other,Bad,n,2,734,0.734,1,China
200,7302,22,female,R,immoralOther,moralOther,Nonmatching,Other,Bad,n,2,956,0.956,1,China
201,7302,22,female,R,immoralOther,immoralSelf,Nonmatching,Other,Bad,n,2,885,0.885,1,China
202,7302,22,female,R,immoralOther,moralOther,Nonmatching,Other,Bad,n,3,728,0.728,1,China
203,7302,22,female,R,immoralOther,moralSelf,Nonmatching,Other,Bad,n,3,986,0.986,1,China
204,7302,22,female,R,immoralOther,immoralSelf,Nonmatching,Other,Bad,NA,3,1042,1.042,-1,China
205,7302,22,female,R,immoralOther,moralSelf,Nonmatching,Other,Bad,n,4,680,0.68,1,China
206,7302,22,female,R,immoralOther,moralOther,Nonmatching,Other,Bad,n,4,666,0.666,1,China
207,7302,22,female,R,immoralOther,moralSelf,Nonmatching,Other,Bad,n,4,677,0.677,1,China
208,7302,22,female,R,immoralOther,moralOther,Nonmatching,Other,Bad,m,5,616,0.616,0,China
209,7302,22,female,R,immoralOther,moralSelf,Nonmatching,Other,Bad,n,5,685,0.685,1,China
210,7302,22,female,R,immoralOther,moralSelf,Nonmatching,Other,Bad,n,5,811,0.811,1,China
211,7302,22,female,R,immoralOther,moralOther,Nonmatching,Other,Bad,n,1,735,0.735,1,China
212,7302,22,female,R,immoralOther,immoralSelf,Nonmatching,Other,Bad,n,1,726,0.726,1,China
213,7302,22,female,R,immoralOther,immoralSelf,Nonmatching,Other,Bad,n,1,703,0.703,1,China
214,7302,22,female,R,immoralOther,immoralSelf,Nonmatching,Other,Bad,n,2,716,0.716,1,China
215,7302,22,female,R,immoralOther,immoralSelf,Nonmatching,Other,Bad,m,2,694,0.694,0,China
216,7302,22,female,R,immoralOther,moralSelf,Nonmatching,Other,Bad,n,2,688,0.688,1,China
217,7302,22,female,R,immoralOther,immoralSelf,Nonmatching,Other,Bad,n,3,769,0.769,1,China
218,7302,22,female,R,immoralOther,moralOther,Nonmatching,Other,Bad,n,3,665,0.665,1,China
219,7302,22,female,R,immoralOther,immoralSelf,Nonmatching,Other,Bad,n,3,805,0.805,1,China
220,7302,22,female,R,immoralOther,moralSelf,Nonmatching,Other,Bad,NA,4,1042,1.042,-1,China
221,7302,22,female,R,immoralOther,immoralSelf,Nonmatching,Other,Bad,NA,4,1042,1.042,-1,China
222,7302,22,female,R,immoralOther,moralOther,Nonmatching,Other,Bad,n,4,638,0.638,1,China
223,7302,22,female,R,immoralOther,moralSelf,Nonmatching,Other,Bad,n,5,697,0.697,1,China
224,7302,22,female,R,immoralOther,moralSelf,Nonmatching,Other,Bad,n,5,682,0.682,1,China
225,7302,22,female,R,immoralOther,immoralSelf,Nonmatching,Other,Bad,n,5,616,0.617,1,China
226,7302,22,female,R,moralOther,moralSelf,Nonmatching,Other,Good,n,1,704,0.704,1,China
227,7302,22,female,R,moralOther,immoralSelf,Nonmatching,Other,Good,n,1,955,0.955,1,China
228,7302,22,female,R,moralOther,moralSelf,Nonmatching,Other,Good,n,1,759,0.759,1,China
229,7302,22,female,R,moralOther,immoralOther,Nonmatching,Other,Good,m,2,461,0.461,0,China
230,7302,22,female,R,moralOther,immoralOther,Nonmatching,Other,Good,n,2,803,0.803,1,China
231,7302,22,female,R,moralOther,immoralOther,Nonmatching,Other,Good,n,2,875,0.875,1,China
232,7302,22,female,R,moralOther,immoralOther,Nonmatching,Other,Good,n,3,764,0.764,1,China
233,7302,22,female,R,moralOther,moralSelf,Nonmatching,Other,Good,n,3,666,0.666,1,China
234,7302,22,female,R,moralOther,moralSelf,Nonmatching,Other,Good,n,3,544,0.544,1,China
235,7302,22,female,R,moralOther,immoralOther,Nonmatching,Other,Good,n,4,614,0.614,1,China
236,7302,22,female,R,moralOther,moralSelf,Nonmatching,Other,Good,n,4,721,0.721,1,China
237,7302,22,female,R,moralOther,immoralSelf,Nonmatching,Other,Good,n,4,614,0.614,1,China
238,7302,22,female,R,moralOther,immoralSelf,Nonmatching,Other,Good,n,5,696,0.696,1,China
239,7302,22,female,R,moralOther,immoralOther,Nonmatching,Other,Good,n,5,674,0.674,1,China
240,7302,22,female,R,moralOther,immoralOther,Nonmatching,Other,Good,n,5,644,0.644,1,China
241,7302,22,female,R,moralOther,immoralSelf,Nonmatching,Other,Good,n,1,918,0.917,1,China
242,7302,22,female,R,moralOther,immoralSelf,Nonmatching,Other,Good,n,1,696,0.696,1,China
243,7302,22,female,R,moralOther,moralSelf,Nonmatching,Other,Good,n,1,669,0.669,1,China
244,7302,22,female,R,moralOther,immoralOther,Nonmatching,Other,Good,m,2,576,0.577,0,China
245,7302,22,female,R,moralOther,moralSelf,Nonmatching,Other,Good,n,2,702,0.702,1,China
246,7302,22,female,R,moralOther,immoralSelf,Nonmatching,Other,Good,n,2,683,0.683,1,China
247,7302,22,female,R,moralOther,immoralOther,Nonmatching,Other,Good,m,3,381,0.381,0,China
