,Subject,Gender,Age,Matching,Origin_Identity,English_Identity,Identity,Mood,Arouse,Valence,Session,RT_ms,RT_sec,ACC,Country
7372,29,female,21,Nonmatching,Stranger,Stranger,Stranger,anxious,5,4,S4,449,0.449,1,China
7373,29,female,21,Nonmatching,Stranger,Stranger,Stranger,anxious,5,4,S4,454,0.454,0,China
7374,29,female,21,Nonmatching,Stranger,Stranger,Stranger,anxious,5,4,S4,632,0.632,1,China
7375,30,female,18,Matching,Familiar,Familiar,Close,happy,1,1,S1,519,0.519,1,China
7376,30,female,18,Matching,Familiar,Familiar,Close,happy,1,1,S1,609,0.609,1,China
7377,30,female,18,Matching,Familiar,Familiar,Close,happy,1,1,S1,487,0.487,1,China
7378,30,female,18,Matching,Familiar,Familiar,Close,happy,1,1,S1,548,0.548,0,China
7379,30,female,18,Matching,Familiar,Familiar,Close,happy,1,1,S1,563,0.563,1,China
7380,30,female,18,Matching,Familiar,Familiar,Close,happy,1,1,S1,505,0.505,1,China
7381,30,female,18,Matching,Familiar,Familiar,Close,happy,1,1,S1,793,0.793,1,China
7382,30,female,18,Matching,Familiar,Familiar,Close,happy,1,1,S1,461,0.461,0,China
7383,30,female,18,Matching,Familiar,Familiar,Close,happy,1,1,S1,605,0.605,1,China
7384,30,female,18,Matching,Familiar,Familiar,Close,happy,1,1,S1,514,0.514,1,China
7385,30,female,18,Matching,Familiar,Familiar,Close,happy,1,1,S1,473,0.473,1,China
7386,30,female,18,Matching,Familiar,Familiar,Close,happy,1,1,S1,545,0.545,1,China
7387,30,female,18,Matching,Familiar,Familiar,Close,happy,1,1,S1,481,0.481,1,China
7388,30,female,18,Matching,Familiar,Familiar,Close,happy,1,1,S1,454,0.454,1,China
7389,30,female,18,Matching,Familiar,Familiar,Close,happy,1,1,S1,360,0.36,1,China
7390,30,female,18,Matching,Familiar,Familiar,Close,happy,1,1,S1,562,0.562,1,China
7391,30,female,18,Matching,Familiar,Familiar,Close,happy,1,1,S1,561,0.561,1,China
7392,30,female,18,Matching,Familiar,Familiar,Close,happy,1,1,S1,480,0.48,1,China
7393,30,female,18,Matching,Familiar,Familiar,Close,happy,1,1,S1,560,0.56,1,China
7394,30,female,18,Matching,Familiar,Familiar,Close,happy,1,1,S1,468,0.468,1,China
7395,30,female,18,Matching,Familiar,Familiar,Close,happy,1,1,S1,643,0.643,1,China
7396,30,female,18,Matching,Familiar,Familiar,Close,happy,1,1,S1,528,0.528,0,China
7397,30,female,18,Matching,Familiar,Familiar,Close,happy,1,1,S1,598,0.598,1,China
7398,30,female,18,Matching,Familiar,Familiar,Close,happy,1,1,S1,602,0.602,1,China
7399,30,female,18,Matching,Familiar,Familiar,Close,anxious,5,3,S2,634,0.634,1,China
7400,30,female,18,Matching,Familiar,Familiar,Close,anxious,5,3,S2,794,0.794,0,China
7401,30,female,18,Matching,Familiar,Familiar,Close,anxious,5,3,S2,587,0.587,1,China
7402,30,female,18,Matching,Familiar,Familiar,Close,anxious,5,3,S2,397,0.397,1,China
7403,30,female,18,Matching,Familiar,Familiar,Close,anxious,5,3,S2,988,0.988,0,China
7404,30,female,18,Matching,Familiar,Familiar,Close,anxious,5,3,S2,796,0.796,1,China
7405,30,female,18,Matching,Familiar,Familiar,Close,anxious,5,3,S2,462,0.462,1,China
7406,30,female,18,Matching,Familiar,Familiar,Close,anxious,5,3,S2,359,0.359,1,China
7407,30,female,18,Matching,Familiar,Familiar,Close,anxious,5,3,S2,650,0.65,1,China
7408,30,female,18,Matching,Familiar,Familiar,Close,anxious,5,3,S2,348,0.348,1,China
7409,30,female,18,Matching,Familiar,Familiar,Close,anxious,5,3,S2,558,0.558,1,China
7410,30,female,18,Matching,Familiar,Familiar,Close,anxious,5,3,S2,271,0.271,1,China
7411,30,female,18,Matching,Familiar,Familiar,Close,anxious,5,3,S2,658,0.658,1,China
7412,30,female,18,Matching,Familiar,Familiar,Close,anxious,5,3,S2,760,0.76,1,China
7413,30,female,18,Matching,Familiar,Familiar,Close,anxious,5,3,S2,975,0.975,1,China
7414,30,female,18,Matching,Familiar,Familiar,Close,anxious,5,3,S2,432,0.432,1,China
7415,30,female,18,Matching,Familiar,Familiar,Close,anxious,5,3,S2,396,0.396,1,China
7416,30,female,18,Matching,Familiar,Familiar,Close,anxious,5,3,S2,624,0.624,1,China
